orig.ident,nCount_RNA,nFeature_RNA,mouse,p28,percent_mito,log10GenesPerUMI,percent_ribo,S.Score,G2M.Score,Phase,pANN,DF_classifications,RNA_snn_res.0.2,seurat_clusters,th17_signature1,th1_signature1,th2_signature1,treg_signature1,RNA_snn_res.0.8,combined_clusters
UK-3136-2-p28wt-474,2203,1115,2,p28wt,1.8610985020426691,0.9115350441888165,15.84203359055833,0.03634374916437148,-0.0664218216974167,S,0.1716321243523316,Singlet,0,2,-0.41038627258394333,0.7076380964591685,-0.08943617066953374,-0.2765309229820403,2,Th1
UK-3136-2-p28wt-474,1805,940,2,p28wt,0.9972299168975068,0.9129889955627868,20.055401662049864,-0.0023361592489252597,-0.03089213550298489,G1,0.07577720207253887,Singlet,0,2,-0.46927127272164115,0.23852761980701753,0.41631263344556746,0.6966631507492622,2,Th1
UK-3136-2-p28wt-474,2479,1140,2,p28wt,3.1060911657926584,0.9006057188414732,20.330778539733764,-0.11349365783860368,-0.009337344509717488,G1,0.13601036269430053,Singlet,0,2,-0.48358124294606253,-0.011563752067319522,-0.0488592867219325,0.7222570558523728,2,Th1
UK-3136-2-p28wt-474,6515,2212,2,p28wt,1.82655410590944,0.8769953266518329,24.313123561013047,0.04640781353038567,-0.05520725065214235,S,0.43523316062176165,Singlet,0,2,-0.46074878079688303,0.5056600975516992,0.23877616651065342,-0.2926811182996236,2,Th1
UK-3136-2-p28wt-474,2127,1119,2,p28wt,3.5260930888575457,0.9161788183156593,11.048425011753643,0.06477159360820563,0.018504923357543418,S,0.13212435233160622,Singlet,0,2,-0.433279225775689,0.7130350288253532,-0.10268558859574702,-0.6755477018392343,2,Th1
UK-3136-2-p28wt-474,3968,1501,2,p28wt,2.091733870967742,0.8826781815898757,25.403225806451612,-0.07768564343445176,-0.1586204731265678,G1,0.07318652849740932,Singlet,0,5,-0.4404938708614774,0.4313442150648239,-0.12018197517625417,-0.48836176768374906,5,Th1
UK-3136-2-p28wt-474,4112,1466,2,p28wt,3.0885214007782102,0.8760618279404735,27.383268482490276,-0.01910455020023119,-0.049468398719084025,G1,0.11269430051813471,Singlet,0,1,-0.4713205120345849,-0.5930855308719217,0.2113146841229095,-0.4923708850523862,1,Th1
UK-3136-2-p28wt-474,3572,1442,2,p28wt,3.555431131019037,0.889120177816677,22.200447928331467,-0.076473172798894,-0.009783305726596248,G1,0.30375647668393785,Singlet,0,5,-0.47123918578467133,-0.07239951846208748,-0.11154529049024378,-0.7553286763841545,5,Th1
UK-3136-2-p28wt-474,3364,1498,2,p28wt,1.5755053507728896,0.9003803458250229,21.87871581450654,-0.1112905352112235,0.03308120106776871,G2M,0.1871761658031088,Singlet,0,5,-0.4832399376225755,-0.14897546886990443,-0.1118370114540389,-0.44677854995544014,5,Th1
UK-3136-2-p28wt-474,4194,1610,2,p28wt,2.408202193609919,0.8852207565373331,23.485932284215547,-0.0643950693188749,-0.08070900209867006,G1,0.12888601036269431,Singlet,0,5,-0.4958929705951019,1.001342239031037,-0.11465570630785538,-0.5462339143612226,5,Th1
UK-3136-2-p28wt-474,3412,1414,2,p28wt,1.6998827667057446,0.8917184726677008,23.153575615474793,-0.015053466339276622,-0.0619959013651616,G1,0.16968911917098445,Singlet,0,2,-0.491152178348166,0.1290154293564092,-0.10734714640497922,-0.35344039457774035,2,Th1
UK-3136-2-p28wt-474,3972,1590,2,p28wt,1.8882175226586102,0.8895217853004431,22.784491440080565,0.05837984106486879,-0.08168707147914521,S,0.3173575129533679,Singlet,0,5,-0.48430767187168117,0.7871919302587788,-0.12801341476678516,-0.779599875251316,5,Th1
UK-3136-2-p28wt-474,1898,1007,2,p28wt,2.528977871443625,0.9160335979225244,19.125395152792414,0.07845226409143716,-0.05480353281701192,S,0.03367875647668394,Singlet,0,2,-0.20162504084171023,-0.08075729905012352,-0.10188296240660856,-0.6300506856869507,2,Th1
UK-3136-2-p28wt-474,3815,1600,2,p28wt,2.385321100917431,0.8946320997620206,20.891218872870247,-0.08093070450553043,-0.031819346556445194,G1,0.20854922279792745,Singlet,0,5,-0.5300460993454154,0.45513849221725333,-0.08265446437711198,-0.7917149293677208,5,Th1
UK-3136-2-p28wt-474,3215,1473,2,p28wt,2.1150855365474337,0.903347379956875,13.530326594090203,-0.05720752837299689,-0.09222082405439318,G1,0.13471502590673576,Singlet,0,5,-0.48166880693318576,0.6681291275292224,-0.1342603430506957,-0.44094711330611575,5,Th1
UK-3136-2-p28wt-474,11795,3319,2,p28wt,2.144976685036032,0.8647515851564384,20.856295040271302,-0.024715319585584483,-0.07340577718978378,G1,0.4423575129533679,Singlet,0,5,-0.533511234379406,0.22933083004342913,-0.1573074380175547,-0.7926884236086474,5,Th1
UK-3136-2-p28wt-474,3501,1350,2,p28wt,2.742073693230506,0.8832291452224093,24.764353041988006,-0.11494511160879806,-0.14086468349515752,G1,0.11204663212435233,Singlet,0,1,-0.4535179995028095,0.10157384269750735,-0.11827998717947703,-0.7509629134951823,1,Th1
UK-3136-2-p28wt-474,2394,1040,2,p28wt,2.046783625730994,0.8928447754153426,23.43358395989975,-0.049655722250698704,-0.046375903640688484,G1,0.11075129533678757,Singlet,0,1,-0.43070129987482236,0.09034871285896573,-0.08369129532345199,-0.6364475880021064,1,Th1
UK-3136-2-p28wt-474,3965,1640,2,p28wt,3.5308953341740232,0.8934481847988357,19.31904161412358,0.03661982547199899,-0.06759631725720347,S,0.28821243523316065,Singlet,0,2,-0.37477726298710545,-0.2780160307475594,0.20009763450661644,-0.8436885738951949,2,Th1
UK-3136-2-p28wt-474,4344,1574,2,p28wt,2.716390423572744,0.8788074651001586,18.945672191528544,-0.07542192984504492,-0.06779431715277756,G1,0.21761658031088082,Singlet,0,5,-0.493425048632354,0.6984860280562607,0.2981382468181538,-0.16639892038759063,5,Th1
UK-3136-2-p28wt-474,3710,1451,2,p28wt,3.315363881401617,0.885776467385766,26.199460916442046,-0.02096398636752979,-0.0640208754191036,G1,0.1327720207253886,Singlet,0,1,-0.4459190762534616,0.20517368667435565,-0.11746041557911732,-0.7749410651884312,1,Th1
UK-3136-2-p28wt-474,2526,1087,2,p28wt,1.9398258115597784,0.8923700290734768,21.21931908155186,-0.011845498762498477,-0.01931640334066459,G1,0.1172279792746114,Singlet,0,2,-0.38364683838870123,0.31766807688272947,0.35079012195467707,-0.6453411183239656,2,Th1
UK-3136-2-p28wt-474,3107,1235,2,p28wt,2.993241068554876,0.8852705773567092,17.927261023495333,-0.020607824461850083,0.008934274087848859,G2M,0.19170984455958548,Singlet,0,2,-0.4704014617091861,0.09507385353830611,-0.10147058448801753,-0.13578192201441763,2,Th1
UK-3136-2-p28wt-474,3272,1418,2,p28wt,2.231051344743276,0.8966838253773274,21.210268948655255,-0.02102621414297691,-0.073130957353655407,G1,0.2189119170984456,Singlet,0,5,-0.4832802795727967,0.5224730470705528,-0.1100205824906969,0.13148556288489588,5,Th1
UK-3136-2-p28wt-474,4009,1517,2,p28wt,2.6440508855076077,0.8828625445666521,34.97131454227987,-0.06922119079141491,-0.04540276274567272,G1,0.04404145077720207,Singlet,0,1,-0.4509769065001999,-0.09384929362883526,-0.12112140450876412,-0.43107028350808607,1,Th1
UK-3136-2-p28wt-474,4166,1605,2,p28wt,2.160345655304849,0.8855590175718145,23.59577532405185,-0.09656067661477159,-0.05654169108688792,G1,0.11787564766839378,Singlet,0,5,-0.5133865213297915,0.2873195775900007,-0.10264593456348708,-0.48236379507666155,5,Th1
UK-3136-2-p28wt-474,8155,2511,2,p28wt,2.0478234212139794,0.8692094599839278,25.248313917841813,-0.09065035790981223,-0.03343370744959798,G1,0.3011658031088083,Singlet,0,2,-0.5546258286342264,-0.05118711339279536,0.06441774187931376,-0.46919638616339976,2,Th1
UK-3136-2-p28wt-474,7786,2575,2,p28wt,2.260467505779604,0.8765103210161501,22.33496018494734,-0.05493647489675166,-0.08383602100508891,G1,0.3588082901554404,Singlet,0,5,-0.47468109128333663,0.1560027707319217,-0.17316818138508577,-0.5572758499684105,5,Th1
UK-3136-2-p28wt-474,3044,1318,2,p28wt,2.956636005256242,0.8956408743170414,24.145860709592643,-0.08588292722107715,-0.08207059953051712,G1,0.17098445595854922,Singlet,0,2,-0.4671985465566456,-0.12846484489850207,-0.09026331770734483,-0.3303509200124444,2,Th1
UK-3136-2-p28wt-474,4210,1772,2,p28wt,2.992874109263658,0.8963054286760804,25.486935866983373,0.008352738397054471,-0.04248188223490448,S,0.08031088082901554,Singlet,0,5,-0.36664556721501845,0.47547155515279915,-0.12793146821015194,-0.7491221541151882,5,Th1
UK-3136-2-p28wt-474,4049,1590,2,p28wt,2.3956532477154853,0.8874656180747766,26.22869844406026,0.0035475529779438464,-0.09214108739077459,S,0.3160621761658031,Singlet,0,5,-0.5000383625040998,0.4580362944603047,-0.13530032824014687,0.1838096278369391,5,Th1
UK-3136-2-p28wt-474,2716,1184,2,p28wt,2.1354933726067746,0.8949955043248615,19.734904270986746,-0.023199201910322542,-0.0789285019745583,G1,0.1211139896373057,Singlet,0,5,-0.4426216012258408,0.17942089990086774,-0.10324159656272001,-0.7520550461176282,5,Th1
UK-3136-2-p28wt-474,2857,1369,2,p28wt,1.400070003500175,0.9075477168025732,13.685684284214211,-0.0145467367781658,-0.13202218138435448,G1,0.21243523316062177,Singlet,0,5,-0.5190329639305812,0.9333434181943905,-0.13895921690333934,-0.0028393913212289013,5,Th1
UK-3136-2-p28wt-474,6357,2107,2,p28wt,3.303445021236432,0.8739006384112566,22.101620261129465,-0.03997499123576244,-0.025708157816355326,G1,0.344559585492228,Singlet,0,1,0.4149816023019729,-0.14150808403092252,0.15684726615710629,-0.647215463096377,1,Th1
UK-3136-2-p28wt-474,1451,765,2,p28wt,2.6878015161957274,0.9120698223379012,22.742935906271537,-0.07723377476470611,-0.047506629532268904,G1,0.023963730569948185,Singlet,0,2,-0.3603760418213778,-0.49719683909063905,-0.061974722655874545,-0.6276610987249546,2,Th1
UK-3136-2-p28wt-474,2907,1242,2,p28wt,2.683178534571723,0.893365295957627,27.450980392156865,-0.05803748397582643,-0.013752002235108168,G1,0.08549222797927461,Singlet,0,2,-0.456490461978438,-0.37887546785091064,-0.10492129759005143,-0.11723056086704209,2,Th1
UK-3136-2-p28wt-474,4330,1781,2,p28wt,3.648960739030023,0.8939020318816343,13.071593533487297,0.36083757287004126,-0.011772019106686488,S,0.2914507772020725,Singlet,0,1,-0.5092960067945732,0.06351925388368262,0.37250472082021974,-0.8296969695880022,1,Th1
UK-3136-2-p28wt-474,3930,1552,2,p28wt,3.1806615776081424,0.8877415786400091,23.460559796437657,-0.05692180773152692,-0.04047332516685301,G1,0.12759067357512954,Singlet,0,5,-0.4938803287284133,0.7489799454774445,0.22875407054724067,-0.7845108922002734,5,Th1
UK-3136-2-p28wt-474,3389,1325,2,p28wt,1.8589554440838005,0.8844624867764712,18.176453231041606,0.02277631861951887,-0.0075877447308962676,S,0.20531088082901555,Singlet,0,1,-0.4609387977561586,0.5268193192160388,-0.0868096910800058,-0.7418950791625446,1,Th1
UK-3136-2-p28wt-474,3028,1266,2,p28wt,2.6750330250990753,0.8912079265624452,21.66446499339498,0.005528690759434379,-0.0727692564839901,S,0.11075129533678757,Singlet,0,5,-0.4163219231673863,0.42996639873901576,-0.08984050764237239,-0.6338908561260885,5,Th1
UK-3136-2-p28wt-474,3253,1311,2,p28wt,2.05963725791577,0.8876282884639513,23.08638180141408,-0.10811899714190297,-0.08195197841773104,G1,0.18523316062176165,Singlet,0,5,-0.2791157197966866,0.838453926257027,-0.12779354799746925,-0.3220912335876668,5,Th1
UK-3136-2-p28wt-474,2795,1230,2,p28wt,3.5778175313059033,0.8965649425380511,18.497316636851522,-0.014494061510145886,-0.029810565889241802,G1,0.042746113989637305,Singlet,0,1,-0.46085612849267177,-0.13190310065890604,0.31041315261537,-0.6991863789104933,1,Th1
UK-3136-2-p28wt-474,1914,924,2,p28wt,3.2915360501567394,0.903633285221126,22.727272727272727,-0.044674387760926845,0.03630391980812614,G2M,0.1016839378238342,Singlet,0,2,-0.4036870120560081,0.19523037260848186,-0.09847127314179221,0.32705416367769935,2,Th1
UK-3136-2-p28wt-474,1154,690,2,p28wt,2.166377816291161,0.9270601873201504,18.977469670710573,-0.06993059955423873,-0.09574298623633248,G1,0.029145077720207253,Singlet,0,1,0.20558689026537819,-0.4833553480185216,-0.07692848449583976,-0.6140154532999961,1,Th1
UK-3136-2-p28wt-474,2540,1211,2,p28wt,2.322834645669291,0.9055197403894852,23.188976377952756,-0.12419181656185234,0.006974174047882531,G2M,0.0705958549222798,Singlet,0,2,-0.42783117411834043,-0.2486924848176169,-0.14012231340536946,-0.7077376095010036,2,Th1
UK-3136-2-p28wt-474,3514,1453,2,p28wt,2.305065452475811,0.8918337320785454,16.277746158224247,-0.0027677907226493353,-0.05702830994012004,G1,0.14961139896373057,Singlet,0,5,-0.4961447321156148,0.6982294820042283,-0.12812837957646192,-0.7124516013717151,5,Th1
UK-3136-2-p28wt-474,2081,1057,2,p28wt,4.276790004805382,0.9113402741569527,24.843825084094185,-0.06882114969518346,-0.07098631332534029,G1,0.03173575129533679,Singlet,0,1,0.14218694983305252,-0.1470418177112856,-0.12487501444795264,-0.6299379169996351,1,Th1
UK-3136-2-p28wt-474,2855,1273,2,p28wt,1.8914185639229424,0.8984902510586986,17.828371278458842,-0.04990099201222284,-0.043292319488550376,G1,0.03821243523316062,Singlet,0,1,-0.45342572113954926,-0.21161864590001045,-0.11519550256982093,-0.3720914277774891,1,Th1
UK-3136-2-p28wt-474,2648,1218,2,p28wt,1.9259818731117824,0.9014669079522712,18.240181268882175,-0.054833919631384495,-0.1054091790904198,G1,0.14248704663212436,Singlet,0,2,-0.4848295468041759,0.7110026359885243,-0.0551893633688215,0.35637106747690916,2,Th1
UK-3136-2-p28wt-474,2513,1235,2,p28wt,3.4222045364106646,0.9092623338143431,22.32391563867887,-0.057246630945072506,0.024832650468783884,G2M,0.09261658031088082,Singlet,0,2,-0.4341046641057673,0.2106746881222571,0.3356427654768674,-0.7706629483200145,2,Th1
UK-3136-2-p28wt-474,3070,1340,2,p28wt,2.8338762214983717,0.8967538599430798,19.250814332247558,-0.03127672476550414,-0.008687140905648011,G1,0.18976683937823835,Singlet,7,2,-0.4494725048157489,0.18534320050388386,-0.13275151679124092,-0.17474171338647737,2,Th1
UK-3136-2-p28wt-474,3426,1451,2,p28wt,3.7069468768242846,0.8944434534991599,20.461179217746643,-0.08177491850987975,-0.047512327143087424,G1,0.26878238341968913,Singlet,0,2,-0.5046849064808042,0.019697847239213195,-0.09692189371033914,-0.13909301968845467,2,Th1
UK-3136-2-p28wt-474,2595,1228,2,p28wt,3.0828516377649327,0.9048254475703282,20.69364161849711,-0.043364494099976364,-0.03211019690333752,G1,0.086139896373057,Singlet,0,2,-0.2908105909800974,0.14481852473369272,-0.10165423073946346,0.020204704158871878,2,Th1
UK-3136-2-p28wt-474,7330,2459,2,p28wt,2.237380627557981,0.8772748549548519,21.732605729877218,0.07815553329895791,-0.007705229145842762,S,0.4339378238341969,Singlet,0,2,-0.5617286496535883,0.20540133797933569,-0.1062572321698909,-0.6935299750743906,2,Th1
UK-3136-2-p28wt-474,3560,1452,2,p28wt,2.640449438202247,0.8903311656278105,18.735955056179776,0.03360380650237793,-0.010696393956032335,S,0.17875647668393782,Singlet,0,1,0.27564676697484025,-0.32289865840089305,-0.12008463976985681,-0.08317941615564206,1,Th1
UK-3136-2-p28wt-474,1437,762,2,p28wt,1.6701461377870561,0.91274566303645,21.851078636047323,0.015729361216982887,0.0906439538653476,G2M,0.014248704663212436,Singlet,0,2,-0.31552709133981083,0.46944901149373575,-0.08707033555959207,-0.05809881931516603,2,Th1
UK-3136-2-p28wt-474,4364,1639,2,p28wt,2.8185151237396884,0.8831540506082363,29.010082493125573,-0.04659675712395467,-0.0641359194900672,G1,0.09974093264248704,Singlet,0,2,-0.4777945319229901,-0.17085517195679656,-0.11051023795408799,-0.476254993057416,2,Th1
UK-3136-2-p28wt-474,2223,1161,2,p28wt,3.418803418803419,0.9157118776409169,18.083670715249664,0.09535262022300944,-0.07381839242275003,S,0.04533678756476684,Singlet,0,5,-0.4441399124456887,0.19499753509536522,-0.11228453712235982,-0.3271687758276625,5,Th1
UK-3136-2-p28wt-474,4629,1629,2,p28wt,3.3700583279325986,0.8762603511881778,27.608554763447827,-0.09146455080779438,-0.0817833109700245,G1,0.14572538860103626,Singlet,0,2,-0.39743658215846867,-0.19711993633682118,-0.11065118262989422,-0.37566437009281134,2,Th1
